word,sentiment
aanbevelen,1
aandoening,-1
aanklagen,-1
aangenaam,1
aanscherpen,-1
aanspannen,-1
aantasten,-1
aangifte,-1
aanhouden,-1
aanklacht,-1
aankoop advies,1
aanmerkelijk,1
aanmoedigen,1
aanpassing,-1
aanrichten,-1
aanslag,-1
aansporen,1
aantijging,-1
aantrekkelijk,1
aantrekkende,-1
aantrekkingskracht,1
aanvaardbaar,1
aanval,-1
aanvechten,-1
aanvullen,1
aanwakkeren,1
aanwinst,1
aanzienlijk,1
aardbeving,-1
aarzelen,-1
abberatie,-1
abject,-1
abnormaal,-1
abrupt,-1
absurd,-1
acceptatie,1
achterblijven,-1
achterstallig,-1
achterstand,-1
achterstellen,-1
achteruitgaan,-1
adequaat,1
afblazen,-1
afboeken,-1
afbraak,-1
afbreken,-1
afbreuk,-1
afdoend,-1
affaire,-1
afkeer,-1
afketsen,-1
afkeuring,-1
afkoelen,-1
afleggen,-1
afleiding,-1
afname,-1
afpersen,-1
afraden,-1
afschaffen,-1
afscheid,-1
afschrijven,-1
afschrikken,-1
afschrikmiddel,-1
afschrikwekkend,-1
afslanken,-1
afsluiten,-1
afstaan,-1
afstoten,-1
afstraffen,-1
aftreden,-1
afvlakken,-1
afwaarderen,-1
afwezigheid,-1
afwijken,-1
afzetten,-1
afzien,-1
afzwakken,-1
aggressief,-1
akkoord,1
allerminst,1
alliantie,1
ambitie,1
amper,-1
angst,-1
annexatie,-1
annuleren,-1
anomalie,-1
antitrust,-1
applaus,1
arbeidsongeschikt,-1
argusogen,-1
argwanen,-1
arm,-1
armoede,-1
arrestatie,-1
arresteren,-1
avontuur,1
bailout,-1
balen,-1
op de tocht,-1
banengroei,1
banenverlies,-1
bang,-1
bankroet,-1
bannen,-1
barriere,-1
barsten,-1
baten,1
bedanken,1
bedenkingen,-1
bederven,-1
bedreiging,-1
bedriegen,-1
beeindigen,-1
begrijpelijk,1
begrotingsoverschot,1
begrotingstekort,-1
begunstigde,1
behalen,1
beheersing,1
behoeden,1
behoorlijk,1
behouden,1
bekentenis,-1
bekritiseren,-1
bekwaam,1
belangenverstrengeling,-1
belangrijk,1
belastbaar,-1
belasten,-1
belasting,-1
belastingfraude,-1
belastingontwijking,-1
belastingverhoging,-1
belastingverlaging,1
belediging,-1
belemmeren,-1
beloning,1
bemoedigen,1
bemoeilijken,-1
benadelen,-1
benadrukken,-1
benauwen,-1
beneden,-1
beperken,-1
bereiken,1
beroering,-1
beroven,-1
berucht,-1
berusten,-1
beschadiging,-1
beschamen,-1
beschermen,1
beschuldigen,-1
beslagname,-1
besmetting,-1
besmettingen afgenomen,1
besmettingen toegenomen,-1
besparen,1
beste,1
bestemming,1
bestrijding,1
betaalbaar,1
beter,1
betreuren,-1
betrouwbaar,1
betwijfelen,-1
betwist,-1
bevel,-1
bevestigen,1
bevochtigen,-1
bevolkingskrimp,-1
bevoordelen,-1
bevorderen,1
bevredigen,1
bevreesd,-1
bevrijden,1
bewering,-1
bewind,-1
bezorgdheid,-1
bezuiniging,-1
bezwaar,-1
bezwijken,-1
bijna,1
bijzonder,1
binnendringen,-1
bitter,-1
blij,1
blind,-1
bloeden,-1
bloeien,1
blokkeren,-1
blootstellen,-1
boete,-1
bonus,1
boos,-1
borgen,1
borgsom,-1
botsing,-1
bottleneck,-1
bovenaan,1
bovengemiddeld,1
boycot,-1
breuk,-1
briljant,1
buitengewoon,1
buitenspel,-1
buitensporig,-1
bulken,1
bureaucratisch,-1
calamiteit,-1
catastrofe,-1
censuur,-1
claimen,-1
collusie,-1
compenseren,1
complex,-1
complicatie,-1
compliment,1
compromis,1
compulsie,-1
concurrentiebeperkend,-1
confisqueren,-1
conflict,-1
confrontatie,-1
consensus,1
constructief,1
contraproductief,-1
controleren,-1
controverse,-1
corona,-1
corrigeren,-1
corruptie,-1
creativiteit,1
criminaliteit,-1
crisis,-1
cruciaal,-1
cyber aanval,-1
cyber criminaliteit,-1
cyber pesten,-1
daadkracht,1
dagvaarding,-1
daling,-1
daling overschot,-1
daling tekort,1
danken,1
debacle,-1
default,-1
defect,-1
defensief,-1
deficientie,-1
deflatie,-1
degraderen,-1
delict,-1
delinquent,-1
demissionair,-1
demonstratie,-1
demonteren,-1
demotie,-1
dempen,1
denigreren,-1
depressie,-1
deprivatie,-1
desastreus,-1
desinformatie,-1
desinvestering,-1
destabiliseren,-1
destructief,-1
detentie,-1
deugen,1
deuken,-1
devaluatie,-1
dicht,-1
dichten,1
diep,-1
dieptepunt,-1
diligent,1
disciplinair,-1
disclaimer,-1
discontinuiteit,-1
discrepantie,-1
discriminatie,-1
disfunctioneel,-1
diskrediet,-1
diskwalificatie,-1
dissident,-1
dissociatie,-1
distantieren,-1
dodelijk,-1
doden,-1
doeltreffend,1
dominant,1
doorbraak,1
doorgroeien,1
doorstart,1
downgrade,-1
downsizen,-1
drama,-1
drastisch,-1
dreigement,-1
dreiging,-1
dringen,-1
dringend,-1
dromen,1
droogte,-1
druk,-1
drukken,-1
dubieus,-1
duidelijk,1
duiken,-1
dumpen,-1
dupe,-1
duur,-1
dwaling,-1
dwang,-1
dwangsom,-1
dwars,-1
dwingen,-1
dysfunctioneel,-1
echt,1
echtscheiding,-1
eenduidig,1
eenheid,1
eens,1
eensgezind,1
eenvoudig,1
eenzijdig,1
eer,1
eerlijk,1
eervol,1
effectief,1
efficient,1
eindelijk,1
eindeloos,1
eisen,1
ellende,-1
embargo,-1
empowerment,1
enige,-1
enigszins,1
enorm,1
enthousiasme,1
epidemie,-1
eren,1
erg,-1
ergernis,-1
erkenning,1
ernstig,-1
erosie,-1
erratisch,-1
escalatie,-1
euforie,1
evasief,-1
evenaren,1
evenwichtig,1
excelleren,1
excessief,-1
exclusief,1
excuus,1
executie,-1
exit,-1
exorbitant,-1
exotisch,1
expansie,1
explosie,-1
explosieven,-1
exportgroei,1
extra,1
extreem-rechts,-1
faillissement,-1
fair,1
falen,-1
fans,1
fantastisch,1
favoriet,1
feesten,1
fel,-1
fenomeen,1
fictief,-1
fikse,1
fixen,-1
fixing,-1
flagrant,-1
flink,1
forceren,-1
fors,1
fout,-1
fraai,1
fraude,-1
frivool,1
frustratie,-1
fundament,1
garant,1
gebrekkig,-1
gedaagde,-1
demoniseren,-1
downgraden,-1
gedupeerde,-1
geen,-1
geen grote,-1
geen kwaad,1
geen oplossing,-1
geen probleem,1
geen ruimte,-1
geen tijd,-1
geerodeerd,-1
geheel niet,1
geheim,-1
geinactiveerd,-1
geinfecteerden,-1
geinnoveerd,1
gek,-1
gelaten,-1
gelijk,0
gelukkig,1
gelukt,1
genant,-1
genieten,1
genoeg,1
genoegen,1
geplaagde,-1
geraffineerd,-1
geringschatten,-1
geruststellen,1
geschikt,1
geschil,-1
geschokt,-1
gestoord,-1
getreiterd,-1
gevaarlijk,-1
gevangene,-1
gevangenis,-1
gevecht,-1
gevoelig,-1
geweld,-1
geweldig,1
gewinnen,1
gewond,-1
giftig,-1
gigantisch,1
gijzeling,-1
gillen,-1
goed,1
goedgemaakt,1
goedkeuren,1
goedkoop,1
goodwill,1
graag,1
gratie,1
gratis,1
grieven,-1
groei afname,-1
groeien,1
groeifonds,1
groeikans,1
groeimarkt,1
groeimogelijkheden,1
groeiversnelling,1
groen licht,1
grof,-1
groot,1
grootheid,1
grootschalig,1
grotendeels,1
gunnen,1
gunstig,1
halveren,-1
handen aftrekken,-1
haperen,-1
hard,1
hausse,1
hecht,1
heerlijk,1
heffing,-1
heftig,-1
heilig,1
hekelen,-1
helaas,-1
helder,1
hele,1
helpen,1
herbeoordeling,-1
herbestemming,-1
herformulering,-1
herindelen,-1
herindienen,-1
heronderhandelen,-1
herplaatsing,-1
herroepen,-1
herstel,1
herstel blijft uit,-1
herstelplan,1
herstructureren,-1
herwinnen,1
het mes erin zetten,-1
hevig,-1
hinder,-1
hindernis,-1
hoffelijk,1
hoger beroep,-1
hoog,1
hoogconjunctuur,1
hoogtepunt,1
hoogterecord,1
hoogwaardig,1
hoopvol,1
houvast,1
huiverig,-1
hype,-1
ideaal,1
iets,-1
ijverig,1
illegaal,-1
illiquide,-1
illusie,-1
immoreel,-1
impasse,-1
imperfectie,-1
improductief,-1
impuls,1
in beroep gaan,-1
in de knel,-1
in de race,1
in de rij,1
in de verkoop,-1
in het geweer,1
in het nauw,-1
in mineur,-1
in trek bij,1
in zee gaan,1
inactief,-1
inadequaat,-1
inbeslagname,-1
inbreuk,-1
incasseren,-1
incident,-1
incompetentie,-1
inconsequent,-1
inconsistent,-1
indrukwekkend,1
ineffectiviteit,-1
inefficient,-1
infaam,-1
inferieur,-1
informatief,1
ingeven,-1
ingewikkeld,-1
ingrijpen,1
ingrijpend,-1
inhaalslag,1
inhalen,1
injectie,1
inkrimpen,-1
inleveren,-1
inmenging,-1
innovatie,1
inperking,-1
inschakelen,1
insolventie,-1
inspiratie,1
instabiliteit,-1
instemmen,1
instorten,-1
insubordinatie,-1
integriteit,1
interessant,1
interferentie,-1
intimidatie,-1
intrekken,-1
inventief,1
invloedrijk,1
inzakken,-1
inzichtelijk,1
irritatie,-1
jammer,-1
juichen,1
kampen,-1
kans,1
kansarmen,-1
kanten tegen,-1
kapot,-1
kappen,1
kat uit de boom kijken,-1
katastrofaal,-1
kelderen,-1
keren,1
ketenen,-1
keurig,1
kickback,-1
kisten,-1
klaar,1
klacht,-1
klagen,-1
klap,-1
klappen,-1
klasse,1
klein,-1
kleinering,-1
kleinzielig,-1
klemmen,-1
klikken,-1
knelpunt,-1
knotten,-1
koersexplosie,1
koersverlies,-1
koerswinst,1
koesteren,1
koploper,1
kort geding,-1
korten,-1
korting,1
kostbaar,1
kosteloos,1
kostenbesparing,1
kostenstijging,-1
koude,-1
krabbelen,1
krach,-1
kracht,-1
krachtig,1
krap,-1
krapte,-1
krimp,-1
kritiek,-1
