verb,verbstem
aai,aaien
aaide,aaien
aaiden,aaien
aaiend,aaien
aait,aaien
aanbad,aanbidden
aanbaden,aanbidden
aanbel,aanbellen
aanbelde,aanbellen
aanbelden,aanbellen
aanbellend,aanbellen
aanbelt,aanbellen
aanbevalen,aanbevelen
aanbeveel,aanbevelen
aanbeveelt,aanbevelen
aanbevelend,aanbevelen
aanbevolen,aanbevelen
aanbid,aanbidden
aanbiddend,aanbidden
aanbidt,aanbidden
aanbied,aanbieden
aanbiedend,aanbieden
aanbiedt,aanbieden
aanboden,aanbieden
aanbood,aanbieden
aanbracht,aanbrengen
aanbrachten,aanbrengen
aanbrak,aanbreken
aanbraken,aanbreken
aanbreek,aanbreken
aanbreekt,aanbreken
aanbrekend,aanbreken
aanbreng,aanbrengen
aanbrengend,aanbrengen
aanbrengt,aanbrengen
aandeden,aandoen
aandeed,aandoen
aandoe,aandoen
aandoend,aandoen
aandoet,aandoen
aandraag,aandragen
aandraagt,aandragen
aandragend,aandragen
aandreef,aandrijven
aandreven,aandrijven
aandrijf,aandrijven
aandrijft,aandrijven
aandrijvend,aandrijven
aandring,aandringen
aandringend,aandringen
aandringt,aandringen
aandroeg,aandragen
aandroegen,aandragen
aandrong,aandringen
aandrongen,aandringen
aandruk,aandrukken
aandrukkend,aandrukken
aandrukt,aandrukken
aandrukte,aandrukken
aandrukten,aandrukken
aanduid,aanduiden
aanduidde,aanduiden
aanduidden,aanduiden
aanduidend,aanduiden
aanduidt,aanduiden
aanga,aangaan
aangaand,aangaan
aangaat,aangaan
aangaf,aangeven
aangaven,aangeven
aangebeden,aanbidden
aangebeld,aanbellen
aangeboden,aanbieden
aangebracht,aanbrengen
aangebroken,aanbreken
aangedaan,aandoen
aangedragen,aandragen
aangedreven,aandrijven
aangedrongen,aandringen
aangedrukt,aandrukken
aangeduid,aanduiden
aangeef,aangeven
aangeeft,aangeven
aangegaan,aangaan
aangegeven,aangeven
aangegrepen,aangrijpen
aangehaald,aanhalen
aangehad,aanhebben
aangehangen,aanhangen
aangehoord,aanhoren
aangehouden,aanhouden
aangekeken,aankijken
aangekleed,aankleden
aangekocht,aankopen
aangekomen,aankomen
aangekondigd,aankondigen
aangekund,aankunnen
aangeland,aanlanden
aangeleerd,aanleren
aangelegd,aanleggen
aangelopen,aanlopen
aangemaakt,aanmaken
aangemeld,aanmelden
aangemerkt,aanmerken
aangemoedigd,aanmoedigen
aangenomen,aannemen
aangepakt,aanpakken
aangepast,aanpassen
aangeplant,aanplanten
aangeprezen,aanprijzen
aangeraakt,aanraken
aangeraden,aanraden
aangereden,aanrijden
aangereikt,aanreiken
aangericht,aanrichten
aangeroepen,aanroepen
aangeroerd,aanroeren
aangeschaft,aanschaffen
aangesloten,aansluiten
aangespoord,aansporen
aangesproken,aanspreken
aangestaan,aanstaan
aangestaard,aanstaren
aangesteld,aanstellen
aangestoken,aansteken
aangestormd,aanstormen
aangetast,aantasten
aangetekend,aantekenen
aangetoond,aantonen
aangetroffen,aantreffen
aangetrokken,aantrekken
aangevallen,aanvallen
aangevangen,aanvangen
aangevend,aangeven
aangevochten,aanvechten
aangevoeld,aanvoelen
aangevoerd,aanvoeren
aangevraagd,aanvragen
aangevreten,aanvreten
aangevuld,aanvullen
aangewakkerd,aanwakkeren
aangewend,aanwenden
aangewezen,aanwijzen
aangezet,aanzetten
aangezien,aanzien
aanging,aangaan
aangingen,aangaan
aangreep,aangrijpen
aangrepen,aangrijpen
aangrijp,aangrijpen
aangrijpend,aangrijpen
aangrijpt,aangrijpen
aanhaal,aanhalen
aanhaalde,aanhalen
aanhaalden,aanhalen
aanhaalt,aanhalen
aanhad,aanhebben
aanhadden,aanhebben
aanhalend,aanhalen
aanhang,aanhangen
aanhangend,aanhangen
aanhangt,aanhangen
aanheb,aanhebben
aanhebbend,aanhebben
aanhebt,aanhebben
aanheeft,aanhebben
aanhield,aanhouden
aanhielden,aanhouden
aanhing,aanhangen
aanhingen,aanhangen
aanhoor,aanhoren
aanhoorde,aanhoren
aanhoorden,aanhoren
aanhoort,aanhoren
aanhorend,aanhoren
aanhoud,aanhouden
aanhoudend,aanhouden
aanhoudt,aanhouden
aankan,aankunnen
aankeek,aankijken
aankeken,aankijken
aankijk,aankijken
aankijkend,aankijken
aankijkt,aankijken
aankledend,aankleden
aankleed,aankleden
aankleedde,aankleden
aankleedden,aankleden
aankleedt,aankleden
aankocht,aankopen
aankochten,aankopen
aankom,aankomen
aankomend,aankomen
aankomt,aankomen
aankon,aankunnen
aankonden,aankunnen
aankondig,aankondigen
aankondigde,aankondigen
aankondigden,aankondigen
aankondigend,aankondigen
aankondigt,aankondigen
aankoop,aankoop
aankoopt,aankopen
aankopend,aankopen
aankunnend,aankunnen
aankunt,aankunnen
aankwam,aankomen
aankwamen,aankomen
aanland,aanlanden
aanlandde,aanlanden
aanlandden,aanlanden
aanlandend,aanlanden
aanlandt,aanlanden
aanleer,aanleren
aanleerde,aanleren
aanleerden,aanleren
aanleert,aanleren
aanleg,aanleggen
aanlegde,aanleggen
aanlegden,aanleggen
aanleggend,aanleggen
aanlegt,aanleggen
aanlerend,aanleren
aanliep,aanlopen
aanliepen,aanlopen
aanloop,aanlopen
aanloopt,aanlopen
aanlopend,aanlopen
aanmaak,aanmaken
aanmaakt,aanmaken
aanmaakte,aanmaken
aanmaakten,aanmaken
aanmakend,aanmaken
aanmeld,aanmelden
aanmeldde,aanmelden
aanmeldden,aanmelden
aanmeldend,aanmelden
aanmeldt,aanmelden
aanmerk,aanmerken
aanmerkend,aanmerken
aanmerkt,aanmerken
aanmerkte,aanmerken
aanmerkten,aanmerken
aanmoedig,aanmoedigen
aanmoedigde,aanmoedigen
aanmoedigden,aanmoedigen
aanmoedigend,aanmoedigen
aanmoedigt,aanmoedigen
aannam,aannemen
aannamen,aannemen
aanneem,aannemen
aanneemt,aannemen
aannemend,aannemen
aanpak,aanpakken
aanpakkend,aanpakken
aanpakt,aanpakken
aanpakte,aanpakken
aanpakten,aanpakken
aanpas,aanpassen
aanpassend,aanpassen
aanpast,aanpassen
aanpaste,aanpassen
aanpasten,aanpassen
aanplant,aanplanten
aanplantend,aanplanten
aanplantte,aanplanten
aanplantten,aanplanten
aanprees,aanprijzen
aanprezen,aanprijzen
aanprijs,aanprijzen
aanprijst,aanprijzen
aanprijzend,aanprijzen
aanraad,aanraden
aanraadt,aanraden
aanraak,aanraken
aanraakt,aanraken
aanraakte,aanraken
aanraakten,aanraken
aanradend,aanraden
aanrakend,aanraken
aanreden,aanrijden
aanreed,aanrijden
aanreik,aanreiken
aanreikend,aanreiken
aanreikt,aanreiken
aanreikte,aanreiken
aanreikten,aanreiken
aanricht,aanrichten
aanrichtend,aanrichten
aanrichtte,aanrichten
aanrichtten,aanrichten
aanried,aanraden
aanrieden,aanraden
aanriep,aanroepen
aanriepen,aanroepen
aanrijd,aanrijden
aanrijdend,aanrijden
aanrijdt,aanrijden
aanroep,aanroepen
aanroepend,aanroepen
aanroept,aanroepen
aanroer,aanroeren
aanroerde,aanroeren
aanroerden,aanroeren
aanroerend,aanroeren
aanroert,aanroeren
aanschaf,aanschaffen
aanschaffend,aanschaffen
aanschaft,aanschaffen
aanschafte,aanschaffen
aanschaften,aanschaffen
aanschiet,aanschieten
aanschietend,aanschieten
aanschoot,aanschieten
aanschoten,aanschieten
aanschouw,aanschouwen
aanschouwd,aanschouwen
aanschouwde,aanschouwen
aanschouwden,aanschouwen
aanschouwend,aanschouwen
aanschouwt,aanschouwen
aansla,aanslaan
aanslaand,aanslaan
aanslaat,aanslaan
aansloeg,aanslaan
aansloegen,aanslaan
aansloot,aansluiten
aansloten,aansluiten
aansluit,aansluiten
aansluitend,aansluiten
aanspoor,aansporen
aanspoorde,aansporen
aanspoorden,aansporen
aanspoort,aansporen
aansporend,aansporen
aansprak,aanspreken
aanspraken,aanspreken
aanspreek,aanspreken
aanspreekt,aanspreken
aansprekend,aanspreken
aanstaar,aanstaren
aanstaarde,aanstaren
aanstaarden,aanstaren
aanstaart,aanstaren
aanstaat,aanstaan
aanstak,aansteken
aanstaken,aansteken
aanstarend,aanstaren
aansteek,aansteken
aansteekt,aansteken
aanstekend,aansteken
aanstel,aanstellen
aanstelde,aanstellen
aanstelden,aanstellen
aanstellend,aanstellen
aanstelt,aanstellen
aanstond,aanstaan
aanstonden,aanstaan
aanstorm,aanstormen
aanstormde,aanstormen
aanstormden,aanstormen
aanstormend,aanstormen
aanstormt,aanstormen
aantast,aantasten
aantastend,aantasten
aantastte,aantasten
aantastten,aantasten
aanteken,aantekenen
aantekende,aantekenen
aantekenden,aantekenen
aantekenend,aantekenen
aantekent,aantekenen
aantonend,aantonen
aantoon,aantonen
aantoonde,aantonen
aantoonden,aantonen
aantoont,aantonen
aantref,aantreffen
aantreffend,aantreffen
aantreft,aantreffen
aantrek,aantrekken
aantrekkend,aantrekken
aantrekt,aantrekken
aantrof,aantreffen
aantroffen,aantreffen
aantrok,aantrekken
aantrokken,aantrekken
aanvaard,aanvaarden
aanvaardde,aanvaarden
aanvaardden,aanvaarden
aanvaardend,aanvaarden
aanvaardt,aanvaarden
aanval,aanval
aanvallend,aanvallen
aanvalt,aanvallen
aanvang,aanvangen
aanvangend,aanvangen
aanvangt,aanvangen
aanvecht,aanvechten
aanvechtend,aanvechten
aanviel,aanvallen
aanvielen,aanvallen
aanving,aanvangen
aanvingen,aanvangen
aanvocht,aanvechten
aanvochten,aanvechten
aanvoel,aanvoelen
aanvoelde,aanvoelen
aanvoelden,aanvoelen
aanvoelend,aanvoelen
aanvoelt,aanvoelen
aanvoer,aanvoeren
aanvoerde,aanvoeren
aanvoerden,aanvoeren
aanvoerend,aanvoeren
aanvoert,aanvoeren
aanvraag,aanvraag
aanvraagt,aanvragen
aanvragend,aanvragen
aanvrat,aanvreten
aanvraten,aanvreten
aanvreet,aanvreten
aanvretend,aanvreten
aanvroeg,aanvragen
aanvroegen,aanvragen
aanvul,aanvullen
aanvulde,aanvullen
aanvulden,aanvullen
aanvullend,aanvullen
aanvult,aanvullen
aanwakker,aanwakkeren
aanwakkerde,aanwakkeren
aanwakkerden,aanwakkeren
aanwakkerend,aanwakkeren
aanwakkert,aanwakkeren
aanwees,aanwijzen
aanwend,aanwenden
aanwendde,aanwenden
aanwendden,aanwenden
aanwendend,aanwenden
aanwendt,aanwenden
aanwezen,aanwijzen
aanwijs,aanwijzen
aanwijst,aanwijzen
aanwijzend,aanwijzen
aanzag,aanzien
aanzagen,aanzien
aanzet,aanzetten
aanzette,aanzetten
aanzetten,aanzetten
aanzettend,aanzetten
aanzie,aanzien
aanziend,aanzien
aanziet,aanzien
aardde,aarden
aardden,aarden
aarden,aren
aardend,aarden
aardt,aarden
aart,aren
aarzel,aarzelen
aarzelde,aarzelen
aarzelden,aarzelen
aarzelend,aarzelen
aarzelt,aarzelen
aasde,azen
aasden,azen
aast,azen
accentueer,accentueren
accentueerde,accentueren
accentueerden,accentueren
accentueert,accentueren
accentuerend,accentueren
accepteer,accepteren
accepteerde,accepteren
accepteerden,accepteren
accepteert,accepteren
accepterend,accepteren
achtend,achten
achterblijvend,achterblijven
achtergebleven,achterblijven
achtergelaten,achterlaten
achtergelegen,achterliggen
achtergesteld,achterstellen
achterhaal,achterhalen
achterhaald,achterhalen
achterhaalde,achterhalen
achterhaalden,achterhalen
achterhaalt,achterhalen
achterhalend,achterhalen
achterlag,achterliggen
achterlagen,achterliggen
achterlatend,achterlaten
achterliet,achterlaten
achterlieten,achterlaten
achterlig,achterliggen
achterliggend,achterliggen
achterligt,achterliggen
achterstel,achterstellen
achterstelde,achterstellen
achterstelden,achterstellen
achterstellend,achterstellen
achterstelt,achterstellen
achtervolg,achtervolgen
achtervolgd,achtervolgen
achtervolgde,achtervolgen
achtervolgden,achtervolgen
achtervolgend,achtervolgen
achtervolgt,achtervolgen
achtte,achten
achtten,achten
acteer,acteren
acteerde,acteren
acteerden,acteren
acteert,acteren
acterend,acteren
adelde,adelen
adelden,adelen
adelend,adelen
adelt,adelen
adem,ademen
ademde,ademen
ademden,ademen
ademend,ademen
ademgehaald,ademhalen
ademhaal,ademhalen
ademhaalde,ademhalen
ademhaalden,ademhalen
ademhaalt,ademhalen
ademhalend,ademhalen
ademt,ademen
adviseer,adviseren
adviseerde,adviseren
adviseerden,adviseren
adviseert,adviseren
adviserend,adviseren
afbaken,afbakenen
afbakende,afbakenen
afbakenden,afbakenen
afbakenend,afbakenen
afbakent,afbakenen
afbeeld,afbeelden
afbeeldde,afbeelden
afbeeldden,afbeelden
afbeeldend,afbeelden
afbeeldt,afbeelden
afbeet,afbijten
afbeten,afbijten
afbijt,afbijten
afbijtend,afbijten
afbrak,afbreken
afbraken,afbreken
afbreek,afbreken
afbreekt,afbreken
afbrekend,afbreken
afdaal,afdalen
afdaalde,afdalen
afdaalden,afdalen
afdaalt,afdalen
afdalend,afdalen
afdank,afdanken
afdankend,afdanken
afdankt,afdanken
afdankte,afdanken
afdankten,afdanken
afdeden,afdoen
afdeed,afdoen
afdek,afdekken
afdekkend,afdekken
afdekt,afdekken
afdekte,afdekken
afdekten,afdekken
afdoe,afdoen
afdoet,afdoen
afdraag,afdragen
afdraagt,afdragen
afdragend,afdragen
afdroeg,afdragen
afdroegen,afdragen
afdruk,afdrukken
afdrukkend,afdrukken
afdrukt,afdrukken
afdrukte,afdrukken
afdrukten,afdrukken
afdwaal,afdwalen
afdwaalde,afdwalen
afdwaalden,afdwalen
afdwaalt,afdwalen
afdwalend,afdwalen
afdwing,afdwingen
afdwingend,afdwingen
afdwingt,afdwingen
afdwong,afdwingen
afdwongen,afdwingen
afga,afgaan
afgaand,afgaan
afgaat,afgaan
afgaf,afgeven
afgaven,afgeven
afgebakend,afbakenen
afgebeeld,afbeelden
afgebeten,afbijten
afgebroken,afbreken
afgedaald,afdalen
afgedaan,afdoen
afgedankt,afdanken
afgedekt,afdekken
afgedragen,afdragen
afgedrukt,afdrukken
afgedwaald,afdwalen
afgedwongen,afdwingen
afgegaan,afgaan
afgegeven,afgeven
afgehaald,afhalen
afgehandeld,afhandelen
afgehangen,afhangen
afgehouden,afhouden
afgekeurd,afkeuren
afgekoeld,afkoelen
afgekomen,afkomen
afgekondigd,afkondigen
afgelaten,aflaten
afgelegd,afleggen
afgelegen,afliggen
afgeleid,afleiden
afgeleverd,afleveren
afgelezen,aflezen
afgelost,aflossen
afgeluisterd,afluisteren
afgemaakt,afmaken
afgemeten,afmeten
afgenomen,afnemen
afgepakt,afpakken
afgeraden,afraden
afgerekend,afrekenen
afgeremd,afremmen
afgerond,afronden
afgeroomd,afromen
afgerukt,afrukken
afgeschaft,afschaffen
afgescheiden,afscheiden
afgeschermd,afschermen
afgeschilderd,afschilderen
afgeschoten,afschieten
afgeschreven,afschrijven
afgeslacht,afslachten
afgeslagen,afslaan
afgesloten,afsluiten
afgesneden,afsnijden
afgespeeld,afspelen
afgesproken,afspreken
afgestaan,afstaan
afgestemd,afstemmen
afgestoten,afstoten
afgestudeerd,afstuderen
afgetekend,aftekenen
afgetreden,aftreden
afgetrokken,aftrekken
afgevaardigd,afvaardigen
afgevallen,afvallen
afgevend,afgeven
afgevoerd,afvoeren
afgevraagd,afvragen
afgevuurd,afvuren
afgewacht,afwachten
afgeweerd,afweren
afgeweken,afwijken
afgewend,afwenden
afgewerkt,afwerken
afgewezen,afwijzen
afgewisseld,afwisselen
afgewogen,afwegen
afgeworpen,afwerpen
afgezet,afzetten
afgezien,afzien
afgezonderd,afzonderen
afgezwakt,afzwakken
afging,afgaan
afgingen,afgaan
afhaal,afhalen
afhaalde,afhalen
afhaalden,afhalen
afhaalt,afhalen
afhalend,afhalen
afhandel,afhandelen
afhandelde,afhandelen
afhandelden,afhandelen
afhandelend,afhandelen
afhandelt,afhandelen
afhang,afhangen
afhangend,afhangen
afhangt,afhangen
afhield,afhouden
afhielden,afhouden
afhing,afhangen
afhingen,afhangen
afhoud,afhouden
afhoudend,afhouden
afhoudt,afhouden
afkeur,afkeuren
afkeurde,afkeuren
afkeurden,afkeuren
afkeurend,afkeuren
afkeurt,afkeuren
afkoel,afkoelen
afkoelde,afkoelen
afkoelden,afkoelen
afkoelend,afkoelen
afkoelt,afkoelen
afkom,afkomen
afkomend,afkomen
afkomt,afkomen
afkondig,afkondigen
afkondigde,afkondigen
afkondigden,afkondigen
afkondigend,afkondigen
afkondigt,afkondigen
afkwam,afkomen
afkwamen,afkomen
aflaat,aflaten
aflag,afliggen
aflagen,afliggen
aflas,aflezen
aflatend,aflaten
aflazen,aflezen
aflees,aflezen
afleest,aflezen
afleg,afleggen
aflegde,afleggen
aflegden,afleggen
afleggend,afleggen
aflegt,afleggen
afleid,afleiden
afleidde,afleiden
afleidden,afleiden
afleidend,afleiden
afleidt,afleiden
aflever,afleveren
afleverde,afleveren
afleverden,afleveren
afleverend,afleveren
aflevert,afleveren
aflezend,aflezen
afliep,aflopen
afliepen,aflopen
afliet,aflaten
aflieten,aflaten
afloop,aflopen
afloopt,aflopen
aflopend,aflopen
aflos,aflossen
aflossend,aflossen
aflost,aflossen
afloste,aflossen
aflosten,aflossen
afluister,afluisteren
afluisterde,afluisteren
afluisterden,afluisteren
afluisterend,afluisteren
afluistert,afluisteren
afmaak,afmaken
afmaakt,afmaken
afmaakte,afmaken
afmaakten,afmaken
afmakend,afmaken
afmat,afmeten
afmaten,afmeten
afmeet,afmeten
afmetend,afmeten
afnam,afnemen
afnamen,afnemen
afneem,afnemen
afneemt,afnemen
afnemend,afnemen
afpak,afpakken
afpakkend,afpakken
afpakt,afpakken
afpakte,afpakken
afpakten,afpakken
afraad,afraden
afraadt,afraden
afradend,afraden
afreken,afrekenen
afrekende,afrekenen
afrekenden,afrekenen
afrekenend,afrekenen
afrekent,afrekenen
afrem,afremmen
afremde,afremmen
afremden,afremmen
afremmend,afremmen
afremt,afremmen
afried,afraden
afrieden,afraden
afromend,afromen
afrond,afronden
afrondde,afronden
afrondden,afronden
afrondend,afronden
afrondt,afronden
afroom,afromen
afroomde,afromen
afroomden,afromen
afroomt,afromen
afruk,afrukken
afrukkend,afrukken
afrukt,afrukken
afrukte,afrukken
afrukten,afrukken
afschaf,afschaffen
afschaffend,afschaffen
afschaft,afschaffen
